analysis_type,cancer_type,research_area,study_type,data_source,cbioportal_usage_summary,specific_datasets,confidence,paper_id,title,year,classified_date
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Melanoma'],"['Biomarker discovery', 'Tumor evolution', 'Immunotherapy', 'Precision medicine']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper describes a proteogenomic analysis of melanoma metastases using custom autopsy samples with RNA-sequencing and mass spectrometry-based proteomics. While the paper cites cBioPortal, the actual usage details are not described in the provided text, suggesting it may have been cited for reference or comparison purposes rather than as a primary data source or analysis tool.",[],low,41017066,Distant metastases of melanoma exhibit varying extent of intrapatient proteogenomic heterogeneity.,2025,2025-12-19T01:49:58.051803
['Other'],['Not specified'],['Other'],['Original research'],['Not specified'],"This paper does not appear to directly use cBioPortal for its primary research. The study focuses on developmental biology using zebrafish models to investigate Sfrp1a's role in hematopoietic stem and progenitor cell development. The citation to cBioPortal is likely a reference to support the statement about SFRP1 variants in hematopoietic cancers mentioned in the abstract, rather than indicating actual data analysis using the platform.",[],low,41016526,Secreted frizzled-related protein 1a regulates hematopoietic development in a dose-dependent manner.,2026,2025-12-19T01:50:04.202588
"['Gene expression analysis', 'Pathway analysis']",['Prostate cancer'],"['Drug response/resistance', 'Pathway analysis', 'Biomarker discovery']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The research primarily utilized high-throughput sequencing (HTS2) to generate gene expression profiles from prostate cancer cells treated with MGFD, combined with network pharmacology and bioinformatics approaches. cBioPortal may have been cited as a reference or used for validation purposes, but specific usage details are not described in the provided text.",[],low,41011149,Large-Scale Transcriptome Profiling and Network Pharmacology Analysis Reveal the Multi-Target Inhibitory Mechanism of Modified Guizhi Fuling Decoction in Prostate Cancer Cells.,2025,2025-12-19T01:50:09.922731
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was used in this study to access and analyze transcriptomic data for epithelial ovarian cancer (EOC), particularly to identify CDK1 as a central hub gene through protein-protein interaction network analysis. The platform enabled the researchers to correlate CDK1 overexpression with survival outcomes and assess its involvement in oncogenic pathways. cBioPortal served as a key data source for the integrative computational pipeline combining transcriptomic profiling with machine learning and molecular simulations.",['TCGA-OV'],medium,41009727,"Integrated Analysis, Machine Learning, Molecular Docking and Dynamics of CDK1 Inhibitors in Epithelial Ovarian Cancer: A Multifaceted Approach Towards Targeted Therapy.",2025,2025-12-19T01:50:15.786330
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Colorectal cancer'],"['Drug response/resistance', 'Pathway analysis', 'Biomarker discovery']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was used as one of multiple public databases to perform differential gene expression and mutational analyses in colorectal cancer. The platform was specifically utilized to assess the prevalence and clinical significance of BRAF, MEK, and PI3K alterations in CRC patients. This analysis helped establish the rationale for targeting these pathways with Antrocin as a multi-target therapeutic agent.",['TCGA'],medium,41009348,Integrated In Silico and Experimental Validation of Antrocin as a Plant-Derived Multi-Target Therapeutic for BRAF/MEK/PI3K-Driven Colorectal Cancer.,2025,2025-12-19T01:50:21.405518
"['Mutation analysis', 'Survival analysis']",['Lung cancer'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']",['GENIE'],"This study utilized the AACR GENIE Biopharma Collaborative (BPC) NSCLC 2.0 dataset, which is accessible through cBioPortal, to conduct a retrospective analysis of KRAS and SMARCA4 mutations in non-small cell lung cancer patients. The researchers identified patients with these mutations and co-mutations, and performed survival analyses using Cox proportional hazards models to assess prognostic implications. The GENIE BPC dataset provided real-world clinical and genomic data that enabled the evaluation of mutation classes and their impact on overall survival outcomes.",['AACR GENIE BPC NSCLC 2.0'],high,41007704,Prognostic Impact of <i>KRAS</i> and <i>SMARCA4</i> Mutations and Co-Mutations on Survival in Non-Small Cell Lung Cancer: Insights from the AACR GENIE BPC Dataset.,2025,2025-12-19T01:50:27.109389
"['Mutation analysis', 'Survival analysis', 'Pathway analysis']",['Lung cancer'],"['Biomarker discovery', 'Precision medicine', 'Methods/Tools development']","['Original research', 'Methods/Software']","['MSK-IMPACT', 'GENIE', 'Multiple sources']",The study used cBioPortal to access and analyze real-world genomic data from patients with non-small cell lung cancer to validate AI-predicted cancer driver mutations. The researchers evaluated variants of unknown significance (VUSs) by testing their association with overall survival and mutual exclusivity with known oncogenic alterations using data from two patient cohorts (N=7965 and 977). cBioPortal served as the primary platform for accessing MSK-IMPACT and potentially GENIE datasets to perform survival analysis and pathway-level mutation analysis.,"['MSK-IMPACT', 'GENIE']",high,41006257,AI cancer driver mutation predictions are valid in real-world data.,2025,2025-12-19T01:50:33.166425
"['Gene expression analysis', 'Pathway analysis']",['Glioma/Brain cancer'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['TCGA'],"The study investigated APP (amyloid precursor protein) mRNA and protein expression in glioblastoma using data likely accessed through cBioPortal. Gene set enrichment analysis was performed to identify pathways associated with APP expression, revealing enrichment of synaptic and neuron projection gene sets, as well as negative enrichment of immune-related processes. cBioPortal was likely used to access GBM gene expression data for correlation and pathway analyses.",['TCGA-GBM'],medium,41003874,Amyloid precursor protein accumulation in glioblastoma is associated with altered synaptic dynamics and immune suppression.,2025,2025-12-19T01:50:39.204569
['Gene expression analysis'],['Breast cancer'],"['Drug response/resistance', 'Pathway analysis']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on experimental laboratory work using cell lines (MDA-MB-231 and Hs578T), siRNA knockdown, and adhesion assays to investigate IGF1R and integrin function in breast cancer. If cBioPortal was cited, it was likely used for background information or validation purposes, but specific usage is not described in the provided text.",[],low,41000977,Insulin-Like Growth Factor 1 Receptor Regulates Breast Cancer Cell Adhesion through Beta-1 Integrin.,2025,2025-12-19T01:50:44.527227
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Leukemia/Lymphoma'],"['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, the specific usage of cBioPortal is not explicitly described. The paper focuses on experimental investigation of ARID1A and ARID1B functions in B cell development and transformation using mouse models and in vitro studies. cBioPortal may have been used to examine mutation frequencies of ARID1A and ARID1B in B cell malignancies or to validate findings, but this is not detailed in the provided text.",[],low,41000613,"ARID1A and ARID1B preserve B cell identity, prevent myeloid transformation and reveal therapeutic vulnerabilities.",2025,2025-12-19T01:50:50.145794
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Copy number analysis']","['Pan-cancer', 'Lung cancer', 'Colorectal cancer']","['Biomarker discovery', 'Precision medicine']",['Original research'],['Multiple sources'],"cBioPortal was used to analyze the distribution of genetic alterations in C15ORF48 across various cancers. The study identified specific mutations including S29F, T38I, and K61N, as well as pathogenic hotspots such as G25D, S28K, and T38W in the C15ORF48 gene. This analysis was part of a comprehensive pan-cancer investigation to understand the role of C15ORF48 as a potential biomarker and therapeutic target.",[],medium,40998903,C15ORF48 serves as a potential biomarker and therapeutic target in pan-cancer with implications for lung cancer.,2025,2025-12-19T01:50:55.621957
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Other solid tumor'],['Biomarker discovery'],['Original research'],"['TCGA', 'Multiple sources']","The paper likely used cBioPortal to access and analyze TCGA data for clear cell renal cell carcinoma (ccRCC), examining MGLL gene expression patterns, clinical correlations, and survival outcomes. The study integrated multiple databases including GEO datasets for validation, and performed comprehensive analyses of gene co-expression, immune infiltration patterns, and prognostic associations. While cBioPortal is cited, the abstract does not provide explicit details about specific cBioPortal functionalities used.","['TCGA', 'GSE40435', 'GSE66270', 'GSE213324']",medium,40994935,Comprehensive analysis of MGLL as a novel diagnostic and prognostic biomarker for clear cell renal cell carcinoma.,2025,2025-12-19T01:51:02.123536
"['Gene expression analysis', 'Survival analysis']",['Lung cancer'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']","['Custom/Private data', 'Multiple sources']","The study used a public gene database (likely cBioPortal) to develop the ""shedding pAxl score"" and investigate correlations with EMT-related genes. The researchers analyzed gene expression data to validate their immunohistochemistry findings and establish associations between pAxl shedding and epithelial-mesenchymal transition signatures. The shedding pAxl score showed strong correlation with established EMT signature scores using this public database.",['Not specified'],medium,40988915,Shedding Phosphorylated Axl Receptor in Lung Adenocarcinoma: Dual-Domain Immunohistochemistry Approach.,2025,2025-12-19T01:51:07.794594
"['Mutation analysis', 'Gene expression analysis', 'Copy number analysis']",['Pan-cancer'],"['Drug response/resistance', 'Biomarker discovery']",['Original research'],['Multiple sources'],"The study performed an in silico analysis using cell line collections to assess correlations between BRCA1/2 mutations and PARP inhibitor sensitivity. The authors examined genomic alterations (mutations, copy number), PARP1 expression levels, and genome alteration patterns in cell lines to identify factors associated with drug response. cBioPortal was likely used to access and analyze these multi-dimensional genomic and expression data from cancer cell line databases.",[],medium,40977519,Unmatched Cell Line Collections Are Not Optimal for Identification of PARP Inhibitor Response and Drug Synergies.,2025,2025-12-19T01:51:13.535233
"['Gene expression analysis', 'Survival analysis']",['Glioma/Brain cancer'],"['Pathway analysis', 'Biomarker discovery']",['Original research'],['TCGA'],"Based on the abstract and introduction provided, the paper appears to use cBioPortal to access TCGA glioblastoma data for validation purposes. The study likely queried FAK (PTK2) expression levels and potentially correlated them with patient survival outcomes in glioblastoma datasets. cBioPortal would have been used to support the clinical relevance of their experimental findings from the mouse stem cell model.",['TCGA-GBM'],medium,40977288,FAK modulates glioblastoma stem cell energetics via regulation of glycolysis and glutamine oxidation.,2025,2025-12-19T01:51:19.389897
['Other'],['Melanoma'],['Review/Commentary'],['Review'],['Not specified'],"This is a review paper that provides an overview of PTEN's role in melanoma suppression. Based on the abstract and introduction provided, there is no direct description of cBioPortal usage in the paper itself. The paper likely cites cBioPortal as a reference resource for cancer genomics data related to PTEN alterations in melanoma, but specific usage details are not evident from the provided text.",[],low,40976930,The Roles of PTEN in Melanoma Suppression.,2025,2025-12-19T01:51:24.400803
['Mutation analysis'],['Other solid tumor'],"['Tumor evolution', 'Biomarker discovery']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of how cBioPortal was used in this study. The paper describes a paired next-generation sequencing study of appendiceal goblet cell adenocarcinomas and coincident lesions using in-house clinical samples. cBioPortal may have been cited as a reference or used for comparative analysis, but specific usage details are not provided in the available text.",[],low,40970974,A paired sequencing study of goblet cell adenocarcinomas with coincident sessile serrated lesions and low-grade appendiceal mucinous neoplasms.,2025,2025-12-19T01:51:29.698955
"['Mutation analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']","['Pan-cancer', 'Prostate cancer']","['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy', 'Pathway analysis']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was likely used to analyze clinical cohorts for correlations between CDK12/13 expression levels and patient survival outcomes as well as response to immune checkpoint blockade therapy. The platform was probably utilized to access genomic and clinical data across multiple cancer types to validate the immunogenic phenotype associated with CDK12 inactivation. Given the pan-cancer analysis and survival correlations mentioned, cBioPortal served as a key resource for mining publicly available cancer genomics datasets including TCGA.",['TCGA'],medium,40955658,CDK12/13 inactivation triggers STING-mediated antitumor immunity in preclinical models.,2025,2025-12-19T01:51:37.009266
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']","['Pan-cancer', 'Colorectal cancer']","['Drug response/resistance', 'Biomarker discovery', 'Methods/Tools development', 'Precision medicine']","['Original research', 'Methods/Software']","['TCGA', 'Multiple sources']",The authors integrated clinical datasets to uncover proliferation and resistance-associated genes with prognostic potential. cBioPortal was likely used to access TCGA and other clinical genomics data to validate the drug resistance genes identified through their BOGO screening platform and to assess their clinical relevance across cancer types. The integration of clinical data helped identify genes with prognostic significance related to drug response.,['TCGA'],medium,40950237,BOGO: A Proteome-Wide Gene Overexpression Platform for Discovering Rational Cancer Combination Therapies.,2025,2025-12-19T01:51:43.157798
"['Mutation analysis', 'Survival analysis']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine']","['Original research', 'Clinical study']",['Custom/Private data'],"Based on the abstract and introduction provided, the specific use of cBioPortal is not explicitly described. The study focuses on analyzing BCOR mutations in conventional and dedifferentiated chondrosarcoma cases, comparing 12 BCOR-mutated cases against 15 BCOR-wildtype controls. While cBioPortal is cited, the paper appears to primarily use institutional/custom patient samples for their clinicopathological analysis rather than directly analyzing cBioPortal datasets.",[],low,40944348,BCOR-Mutated Conventional and Dedifferentiated Chondrosarcoma: A Clinicopathologic Study.,2025,2025-12-19T01:51:49.048175
['Gene expression analysis'],['Other solid tumor'],"['Immunotherapy', 'Biomarker discovery']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on preclinical evaluation of FOLR1-targeted CAR T-cell therapy against osteosarcoma using in vitro and in vivo models. While the authors characterize FOLR1 expression in patient specimens, cell lines, and xenografts, the specific data sources and analysis platforms are not detailed in the provided text.",[],low,40919994,Preclinical Evaluation of Folate Receptor-α Chimeric Antigen Receptor T Cells Exhibits Highly Efficient Antitumor Activity against Osteosarcoma.,2025,2025-12-19T01:51:54.591220
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis']","['Pan-cancer', 'Lung cancer', 'Colorectal cancer']","['Biomarker discovery', 'Drug response/resistance', 'Immunotherapy', 'Precision medicine']","['Original research', 'Clinical study']","['TCGA', 'Custom/Private data', 'Multiple sources']","cBioPortal was used to extract tumor mutational burden (TMB) and fraction genome altered (FGA) data for 6,488 patients across 18 solid tumor types from The Cancer Genome Atlas (TCGA). These biomarkers were then analyzed in relation to anesthetic/analgesic drug target receptor gene expression and correlated with clinical outcomes in lung and colon adenocarcinoma cohorts to develop a precision approach to immunomodulation.",['TCGA'],high,40909996,Towards a precision approach to anesthetic/analgesic immunomodulation in cancer.,2024,2025-12-19T01:52:00.714411
"['Gene expression analysis', 'Survival analysis']",['Breast cancer'],['Biomarker discovery'],['Original research'],['TCGA'],"The study used cBioPortal to access TCGA RNA-seq data for invasive lobular carcinoma (ILC) patients. The authors applied lasso-logistic regression to 41 aminoacyl-tRNA synthetase (ARS) genes using patient vital status as the outcome, and performed survival analysis to identify SARS1 and CARS2 as prognostic biomarkers. cBioPortal served as the primary data source for obtaining gene expression and clinical outcome data.",['TCGA'],medium,40904607,Identification of SARS1 as a Prognostic Biomarker in Invasive Lobular Carcinoma Using Lasso-Logistic Regression.,2025,2025-12-19T01:52:06.702486
"['Gene expression analysis', 'Pathway analysis']",['Lung cancer'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['TCGA'],"Based on the abstract, the study analyzed circadian clock gene expression patterns and MYC pathway activation in lung adenocarcinoma tumors, likely using TCGA data accessed through cBioPortal. The researchers used Clock Correlation Distance (CCD) to assess circadian rhythm disruption and examined correlations with MYC expression, pathway activation, and EMT/TGF-β signaling programs. cBioPortal was likely used to access and analyze gene expression data from human lung adenocarcinoma samples to identify determinants of circadian disruption.",['TCGA-LUAD'],medium,40894652,MYC and Epithelial to Mesenchymal Transition (EMT) Independently Predict Circadian Rhythm Disruption in Lung Adenocarcinoma.,2025,2025-12-19T01:52:12.579065
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Drug response/resistance', 'Precision medicine', 'Review/Commentary', 'Biomarker discovery']",['Review'],['Not specified'],"Based on the abstract and introduction provided, this appears to be a review paper discussing CRISPR-knockout library screening methods for identifying genetic dependencies in epithelial ovarian cancer (EOC). The specific usage of cBioPortal is not detailed in the provided text, though it is cited. cBioPortal was likely referenced as a resource for accessing cancer genomics data to contextualize CRISPR screening findings or to identify cancer-associated mutations relevant to synthetic lethality studies.",[],low,40875132,Revealing genetic drivers of ovarian cancer and chemoresistance: insights from whole-genome CRISPR-knockout library screens.,2025,2025-12-19T01:52:19.699942
"['Gene expression analysis', 'Survival analysis']",['Breast cancer'],"['Biomarker discovery', 'Methods/Tools development']",['Original research'],['Not specified'],"Based on the abstract, cBioPortal was likely used to perform survival analysis correlating the expression of FOXA1-interacting proteins with relapse-free survival in ER-positive breast cancer patients. The study identified 42 novel FOXA1 partners, including NR2C2, that were significantly associated with poor relapse-free survival, suggesting cBioPortal was used to access clinical outcome data linked to gene expression profiles. However, the specific details of cBioPortal usage are not explicitly described in the provided abstract.",[],medium,40874905,Mapping the FOXA1 Interactome in ER+ Breast Cancer Cells Using Proximity Labeling Reveals Novel Interactions with the Orphan Nuclear Receptor NR2C2.,2025,2025-12-19T01:52:26.169090
"['Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal being used in this study. The paper describes using GEO database for raw data extraction, STRING and Gephi for hub gene identification, miRPathDB for pathway analysis, miRWalk for miRNA-gene interactions, and miRDB for miRNA confirmation. cBioPortal may have been cited in the references but does not appear to be a primary data source or analysis tool in this research.",[],low,40869426,Functional Role of miR-138-5p and miR-200b-3p in Testicular Germ Cell Tumors: Molecular Insights into Seminoma and Teratoma Pathogenesis.,2025,2025-12-19T01:52:31.823922
"['Gene expression analysis', 'Survival analysis']",['Prostate cancer'],"['Biomarker discovery', 'Precision medicine']",['Original research'],['TCGA'],"The study analyzed 421 prostate cancer patients from The Cancer Genome Atlas (TCGA) who underwent radical prostatectomy. The researchers used the data to identify differentially expressed genes between patients with and without perineural invasion (PNI), and evaluated the prognostic significance of these genes using survival analysis. While cBioPortal is cited, the abstract does not explicitly describe how cBioPortal was accessed or used to retrieve the TCGA data.",['TCGA prostate cancer'],medium,40868045,Transcriptomic Profile of Perineural Invasion in Prostate Cancer Identifies Prognostic Gene Signatures.,2025,2025-12-19T01:52:37.897978
['Other'],['Not specified'],['Review/Commentary'],['Review'],['Not specified'],"This is a review paper about Bcl-2 modifying factor (Bmf), a BH3-only protein in the Bcl-2 family. Based on the abstract and introduction provided, there is no clear indication that cBioPortal was actively used for data analysis in this study. The paper appears to be a comprehensive review of Bmf's functions, regulation, and significance in normal and pathological contexts, and cBioPortal is likely only cited as a reference or resource rather than being used for original data analysis.",[],low,40849581,"Bcl-2 modifying factor (Bmf): ""a mysterious stranger"" in the Bcl-2 family proteins.",2025,2025-12-19T01:52:43.418208
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']","['Colorectal cancer', 'Pan-cancer']","['Biomarker discovery', 'Drug response/resistance', 'Pathway analysis', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","cBioPortal was used to analyze tumor genetic variations in GOT1 across colorectal cancer samples, including mutation burden, copy number alterations, and microsatellite instability status. The platform facilitated the investigation of genomic alterations associated with GOT1 expression in both CRC-specific and pan-cancer contexts. This analysis helped characterize the molecular landscape of GOT1 in relation to tumor genetics and potential therapeutic implications.",['TCGA'],high,40849558,Exploring the multifaceted roles of glutamate oxaloacetate transaminase 1 as a biomarker and therapeutic target in colorectal cancer and pan-cancer analyses.,2025,2025-12-19T01:52:49.873098
"['Gene expression analysis', 'Survival analysis']",['Other solid tumor'],"['Drug response/resistance', 'Pathway analysis', 'Biomarker discovery']",['Original research'],['TCGA'],"Based on the abstract and introduction, cBioPortal was likely used to analyze ERBB3 expression levels and correlate them with clinical outcomes in gastric cancer patients. The study investigated the relationship between ERBB3 expression and ferroptosis pathway components (SLC7A11, GPX4) in gastric cancer, which typically involves querying publicly available datasets through cBioPortal. The platform was probably used to validate the clinical relevance of ERBB3 as a regulator of ferroptosis sensitivity in gastric cancer.",['TCGA'],medium,40846695,ERBB3 influences the ferroptosis pathway via modulation of lipid peroxidation and GSH synthesis in gastric cancer.,2025,2025-12-19T01:52:56.717145
['Survival analysis'],['Other solid tumor'],"['Biomarker discovery', 'Review/Commentary']","['Meta-analysis', 'Review']",['Not specified'],"Based on the provided abstract and introduction, there is no clear indication that cBioPortal was directly used in this study. This is a systematic review and meta-analysis examining the prognostic role of IL-8 in renal cell carcinoma by synthesizing data from previously published studies. The paper may cite cBioPortal in the references, but the abstract does not describe any direct usage of the platform for data retrieval or analysis.",[],low,40839124,Interleukin-8 as a potential prognostic biomarker in renal cell carcinoma: a systematic review and meta-analysis.,2025,2025-12-19T01:53:03.266732
['Mutation analysis'],['Pan-cancer'],"['Methods/Tools development', 'Database/Resource']",['Methods/Software'],['Multiple sources'],"MutationAssessor version 4 (r4) has been integrated into cBioPortal for Cancer Genomics to provide functional impact scores for somatic mutations. The tool now provides functional impact assessments for approximately 4 million somatic amino-acid changing mutations across more than 320,000 human tumor samples available through cBioPortal. This integration makes the MutationAssessor functional impact predictions widely accessible to cancer researchers using the cBioPortal platform.",[],high,40832239,MutationAssessor in cBioPortal.,2025,2025-12-19T01:53:09.351493
['Mutation analysis'],['Pan-cancer'],"['Methods/Tools development', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The study focuses on analyzing missense variants of uncertain significance (VUSs) in TP53 from the gnomAD database using in silico tools (PhosphositePlus, Kinase Library, and Dynamut2) to assess protein stability and phosphorylation effects. cBioPortal may have been cited in the references for general context about TP53 mutations in cancer, but no specific usage is described in the provided text.",[],low,40806592,GnomAD Missense Variants of Uncertain Significance: Implications for p53 Stability and Phosphorylation.,2025,2025-12-19T01:53:15.725950
"['Mutation analysis', 'Pathway analysis']",['Colorectal cancer'],"['Tumor evolution', 'Biomarker discovery', 'Methods/Tools development']",['Original research'],['TCGA'],"The study used cBioPortal to access and analyze colorectal cancer genomic data, specifically examining POLε (POLE) mutations and their co-occurrence patterns with mutations in other genes. The researchers partitioned POLE mutations into driver, passenger, and wild-type categories and assessed mutation patterns across these groups to understand the relationship between POLE driver mutations and mutations in other cancer-related genes. An artificial intelligence algorithm was applied to determine co-occurring mutations in colorectal cancers harboring POLE mutations.",['TCGA colorectal cancer'],medium,40806338,Comprehensive Analysis of Human Colorectal Cancers Harboring Polymerase Epsilon Mutations.,2025,2025-12-19T01:53:22.514272
"['Gene expression analysis', 'Survival analysis', 'Multi-omics integration', 'Mutation analysis']","['Other solid tumor', 'Pan-cancer']","['Biomarker discovery', 'Immunotherapy', 'Precision medicine']",['Original research'],"['TCGA', 'Multiple sources']","Based on the abstract, this study utilized multiple ccRCC cohorts to develop a Bidirectional Liquid-Liquid Phase Separation-associated Index (B-LLPSI) for predicting patient prognosis and therapeutic response. The study appears to have used cBioPortal to access multi-omics data including gene expression and clinical data from TCGA and potentially other cohorts to perform survival analysis and validate the B-LLPSI signature across multiple cancer types. The specific details of cBioPortal usage are not explicitly described in the provided abstract and introduction.",['TCGA'],medium,40804718,Multi-omics analysis of bidirectional liquid-liquid phase separation signatures reveals immunotherapy response and prognosis in renal cell carcinoma.,2025,2025-12-19T01:53:28.939497
['Survival analysis'],['Not specified'],['Methods/Tools development'],['Methods/Software'],['Not specified'],"Based on the provided abstract and introduction, there is no clear indication that cBioPortal was actually used in this study. ShinyEvents is described as an independent web-based framework for longitudinal clinical data analysis and real-world survival estimation. The paper appears to cite cBioPortal in references but does not describe using cBioPortal data or functionality in the methodology.",[],low,40799741,ShinyEvents: harmonizing longitudinal data for real world survival estimation.,2025,2025-12-19T01:53:35.070963
"['Gene expression analysis', 'Survival analysis', 'Pathway analysis', 'Multi-omics integration']",['Other solid tumor'],"['Biomarker discovery', 'Precision medicine', 'Pathway analysis']",['Original research'],"['TCGA', 'Custom/Private data']","The paper analyzed TCGA high-grade serous ovarian carcinoma (HGSOC) data to investigate the relationship between RB1 mRNA expression and homologous recombination (HR) status. The study used 272 HGSOC cases from TCGA to perform survival analysis and molecular characterization, stratifying patients by RB1 expression levels and HR status. While cBioPortal is cited as a source for cancer genomics data, the specific details of how the platform was accessed or queried are not explicitly described in the abstract.",['TCGA'],medium,40796942,RB1 expression and HR proficiency define a poor prognosis subtype of high grade serous ovarian cancer.,2025,2025-12-19T01:53:42.177082
"['Gene expression analysis', 'Survival analysis', 'Mutation analysis', 'Pathway analysis']",['Other solid tumor'],"['Biomarker discovery', 'Drug response/resistance', 'Precision medicine']",['Original research'],"['TCGA', 'Custom/Private data', 'Multiple sources']","The study evaluated RNA expression of ECM proteins (FN1, COL5A1, COL1A1, TNF6AIP6, FLG) in the TCGA-BLCA cystectomy cohort (n=397) accessed through cBioPortal. The researchers also analyzed the prognostic significance of these genes in relation to TP53 mutations, suggesting they queried mutation data alongside gene expression data from the TCGA bladder cancer dataset via cBioPortal.",['TCGA-BLCA'],high,40792276,Radiation-induced extracellular matrix remodelling drives prognosis and predicts radiotherapy response in muscle-invasive bladder cancer.,2025,2025-12-19T01:53:48.308309
"['Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']",['Colorectal cancer'],"['Biomarker discovery', 'Pathway analysis']",['Original research'],['TCGA'],"cBioPortal was used to perform bioinformatic analyses of the PIWI pathway in colon cancer, including SWAN (Shifted Weighted Annotation Network) analysis to identify allelic losses and copy number alterations. The platform was used to analyze PIWIL2 expression levels across different tumor stages, nodal metastasis status, and cancer subtypes, and to correlate these with patient survival outcomes in colon cancer datasets.",['TCGA'],high,40789164,PIWIL2 downregulation in colon cancer promotes transposon activity and pro-tumorigenic phenotypes.,2025,2025-12-19T01:53:54.509875
"['Mutation analysis', 'Gene expression analysis', 'Pathway analysis']",['Other solid tumor'],"['Drug response/resistance', 'Pathway analysis', 'Precision medicine']",['Original research'],['Custom/Private data'],"Based on the abstract and introduction provided, cBioPortal appears to have been used to identify or validate the presence of KRAS mutations in osteosarcoma patient samples, supporting the rationale that KRAS mutations are detectable in a small subset of osteosarcoma patients. The study then used this information to investigate the efficacy of the pan-KRAS inhibitor daraxonrasib in KRAS mutant versus wild-type osteosarcoma cell lines through experimental validation.",[],low,40779492,"Daraxonrasib, a pan-RAS inhibitor, selectively inhibits osteosarcomas with activated KRAS by halting AKT signaling and matrix metalloprotease activity.",2025,2025-12-19T01:54:00.228400
"['Mutation analysis', 'Copy number analysis', 'Gene expression analysis', 'Survival analysis', 'Pathway analysis']","['Pan-cancer', 'Other solid tumor']","['Biomarker discovery', 'Pathway analysis', 'Immunotherapy']",['Original research'],"['TCGA', 'Multiple sources']","The study used cBioPortal to conduct a comprehensive pan-cancer analysis of ITGAV across multiple cancer types. The platform was utilized to analyze ITGAV expression patterns, genetic alterations (mutations and copy number variations), epigenetic modifications (DNA methylation), clinical-pathological correlations, prognostic value, and relationships with tumor immune microenvironment features. The analysis particularly focused on gastric cancer (GC) with additional validation through tissue microarrays and in vitro experiments.",['TCGA'],high,40775431,Pan-cancer landscape of ITGAV and its potential role in gastric cancer.,2025,2025-12-19T01:54:06.785848
"['Copy number analysis', 'Gene expression analysis']",['Other solid tumor'],"['Drug response/resistance', 'Biomarker discovery']",['Original research'],['Not specified'],"Based on the abstract and introduction provided, there is no explicit mention of cBioPortal usage in this study. The paper focuses on experimental work examining DFMO effects on protein translation in neuroblastoma cell lines and mouse models. While the authors mention examining MYCN and ODC1 copy number in relation to DFMO sensitivity, the specific source of this genomic data is not stated in the provided text.",[],low,40774224,High-dose DFMO alters protein translation in neuroblastoma.,2025,2025-12-19T01:54:12.876217
